
18003it [49:54,  2.07s/it]
18004it [49:54,  1.49s/it]
18005it [49:54,  1.08s/it]
18006it [49:54,  1.26it/s]
18007it [49:54,  1.68it/s]
18008it [49:54,  2.19it/s]
18009it [49:54,  2.79it/s]
18010it [49:55,  3.46it/s]
18011it [49:55,  4.14it/s]
18012it [49:55,  4.81it/s]
18013it [49:55,  5.40it/s]
18014it [49:55,  5.94it/s]
18015it [49:55,  6.43it/s]
18016it [49:55,  6.81it/s]
18017it [49:55,  7.03it/s]
18018it [49:56,  7.16it/s]
18019it [49:56,  7.32it/s]
18020it [49:56,  7.44it/s]
18021it [49:56,  7.50it/s]
18022it [49:56,  7.61it/s]
18023it [49:56,  7.62it/s]
18024it [49:56,  7.68it/s]
18025it [49:56,  7.68it/s]
18026it [49:57,  7.71it/s]
18027it [49:57,  7.73it/s]
18028it [49:57,  7.74it/s]
18029it [49:57,  7.76it/s]
18030it [49:57,  7.73it/s]
18031it [49:57,  7.75it/s]
18032it [49:57,  7.79it/s]
18033it [49:57,  7.78it/s]
18034it [49:58,  7.80it/s]
18035it [49:58,  7.78it/s]
18036it [49:58,  7.76it/s]
18037it [49:58,  7.74it/s]
18038it [49:58,  7.75it/s]
18039it [49:58,  7.74it/s]
18040it [49:58,  7.80it/s]
18041it [49:59,  7.77it/s]
18042it [49:59,  7.80it/s]
18043it [49:59,  7.73it/s]
18044it [49:59,  7.80it/s]
18045it [49:59,  7.77it/s]
18046it [49:59,  7.76it/s]
18047it [49:59,  7.75it/s]
18048it [49:59,  7.79it/s]
18049it [50:00,  7.80it/s]
18050it [50:00,  7.76it/s]
18051it [50:00,  7.77it/s]
18052it [50:00,  7.80it/s]
18053it [50:00,  7.78it/s]
18054it [50:00,  7.76it/s]
18055it [50:00,  7.72it/s]
18056it [50:00,  7.76it/s]
18057it [50:01,  7.55it/s]
18058it [50:01,  7.62it/s]
18059it [50:01,  7.66it/s]
18060it [50:01,  7.70it/s]
18061it [50:01,  7.71it/s]
18062it [50:01,  7.74it/s]
18063it [50:01,  7.75it/s]
18064it [50:01,  7.76it/s]
18065it [50:02,  7.75it/s]
18066it [50:02,  7.75it/s]
18067it [50:02,  7.73it/s]
18068it [50:02,  7.71it/s]
18069it [50:02,  7.72it/s]
18070it [50:02,  7.77it/s]
18071it [50:02,  7.75it/s]
18072it [50:03,  7.74it/s]
18073it [50:03,  7.70it/s]
18074it [50:03,  7.76it/s]
18075it [50:03,  7.70it/s]
18076it [50:03,  7.74it/s]
18077it [50:03,  7.71it/s]
18078it [50:03,  7.75it/s]
18079it [50:03,  7.75it/s]
18080it [50:04,  7.74it/s]
18081it [50:04,  7.76it/s]
18082it [50:04,  7.76it/s]
18083it [50:04,  7.73it/s]
18084it [50:04,  7.73it/s]
18085it [50:04,  7.78it/s]
18086it [50:04,  7.77it/s]
18087it [50:04,  7.76it/s]
18088it [50:05,  7.75it/s]
18089it [50:05,  7.74it/s]
18090it [50:05,  7.77it/s]
18091it [50:05,  7.77it/s]
18092it [50:05,  7.74it/s]
18093it [50:05,  7.74it/s]
18094it [50:05,  7.78it/s]
18095it [50:05,  7.76it/s]
18096it [50:06,  7.76it/s]
18097it [50:06,  7.74it/s]
18098it [50:06,  7.73it/s]
18099it [50:06,  7.71it/s]
18100it [50:06,  7.69it/s]
18101it [50:06,  7.70it/s]
18102it [50:06,  7.68it/s]
18103it [50:07,  7.64it/s]
18104it [50:07,  7.65it/s]
18105it [50:07,  7.59it/s]
18106it [50:07,  7.57it/s]
18107it [50:07,  7.56it/s]
18108it [50:07,  7.58it/s]
18109it [50:07,  7.60it/s]
18110it [50:07,  7.65it/s]
18111it [50:08,  7.66it/s]
18112it [50:08,  7.66it/s]
18113it [50:08,  7.70it/s]
18114it [50:08,  7.73it/s]
18115it [50:08,  7.72it/s]
18116it [50:08,  7.71it/s]
18117it [50:08,  7.70it/s]
18118it [50:08,  7.70it/s]
18119it [50:09,  7.69it/s]
18120it [50:09,  7.48it/s]
18121it [50:09,  7.52it/s]
18122it [50:09,  7.42it/s]
18123it [50:09,  7.52it/s]
18124it [50:09,  7.60it/s]
18125it [50:09,  7.67it/s]
18126it [50:10,  7.70it/s]
18127it [50:10,  7.64it/s]
18128it [50:10,  7.69it/s]
18129it [50:10,  7.71it/s]
18130it [50:10,  7.72it/s]
18131it [50:10,  7.48it/s]
18132it [50:10,  7.53it/s]
18133it [50:10,  7.57it/s]
18134it [50:11,  7.65it/s]
18135it [50:11,  7.65it/s]
18136it [50:11,  7.68it/s]
18137it [50:11,  7.67it/s]
18138it [50:11,  7.58it/s]
18139it [50:11,  7.35it/s]
18140it [50:11,  7.45it/s]
18141it [50:12,  7.44it/s]
18142it [50:12,  7.50it/s]
18143it [50:12,  7.57it/s]
18144it [50:12,  7.63it/s]
18145it [50:12,  7.64it/s]
18146it [50:12,  7.69it/s]
18147it [50:12,  7.69it/s]
18148it [50:12,  7.74it/s]
18149it [50:13,  7.71it/s]
18150it [50:13,  7.72it/s]
18151it [50:13,  7.76it/s]
18152it [50:13,  7.74it/s]
18153it [50:13,  7.76it/s]
18154it [50:13,  7.77it/s]
18155it [50:13,  7.77it/s]
18156it [50:13,  7.76it/s]
18157it [50:14,  7.74it/s]
18158it [50:14,  7.74it/s]
18159it [50:14,  7.71it/s]
18160it [50:14,  7.74it/s]
18161it [50:14,  7.75it/s]
18162it [50:14,  7.71it/s]
18163it [50:14,  7.70it/s]
18164it [50:14,  7.70it/s]
18165it [50:15,  7.70it/s]
18166it [50:15,  7.71it/s]
18167it [50:15,  7.70it/s]
18168it [50:15,  7.69it/s]
18169it [50:15,  7.69it/s]
18170it [50:15,  7.69it/s]
18171it [50:15,  7.69it/s]
18172it [50:16,  7.71it/s]
18173it [50:16,  7.69it/s]
18174it [50:16,  7.71it/s]
18175it [50:16,  7.75it/s]
18176it [50:16,  7.76it/s]
18177it [50:16,  7.72it/s]
18178it [50:16,  7.75it/s]
18179it [50:16,  7.73it/s]
18180it [50:17,  7.72it/s]
18181it [50:17,  7.74it/s]
18182it [50:17,  7.75it/s]
18183it [50:17,  7.72it/s]
18184it [50:17,  7.72it/s]
18185it [50:17,  7.71it/s]
18186it [50:17,  7.69it/s]
18187it [50:17,  7.74it/s]
18188it [50:18,  7.73it/s]
18189it [50:18,  7.70it/s]
18190it [50:18,  7.71it/s]
18191it [50:18,  7.70it/s]
18192it [50:18,  7.76it/s]
18193it [50:18,  7.75it/s]
18194it [50:18,  7.76it/s]
18195it [50:19,  7.74it/s]
18196it [50:19,  7.75it/s]
18197it [50:19,  7.77it/s]
18198it [50:19,  7.79it/s]
18199it [50:19,  7.76it/s]
18200it [50:19,  7.79it/s]
18201it [50:19,  7.79it/s]
18202it [50:19,  7.77it/s]
18203it [50:20,  7.79it/s]
18204it [50:20,  7.81it/s]Running on cuda.
Loading data...

18205it [50:20,  7.78it/s]
18206it [50:20,  7.45it/s]
18207it [50:20,  7.53it/s]
18208it [50:20,  7.58it/s]
18209it [50:20,  7.65it/s]
18210it [50:20,  7.70it/s]
18211it [50:21,  7.71it/s]
18212it [50:21,  7.75it/s]
18213it [50:21,  7.74it/s]
18214it [50:21,  7.75it/s]
18215it [50:21,  7.76it/s]
18216it [50:21,  7.78it/s]
18217it [50:21,  7.79it/s]
18218it [50:21,  7.81it/s]
18219it [50:22,  7.79it/s]
18220it [50:22,  7.82it/s]
